YEAR,QUARTER,MONTH,GEOGRAPHY,MARKET,COUNTRY,UT15_NAME,UT17_NAME,UT20_NAME,UT30_NAME,REVENUE,GROSS_PROFIT,REGION,BRANCH,REVENUE_PY,GROSS_PROFIT_PY,REVENUE_PPY,GROSS_PROFIT_PPY
2022,1,1,APAC,APAC Top Countries,APAC Top Country,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),2031819.0,2031819.0,APAC Top Region,Unassigned,0.0,0.0,0.0,0.0
2022,1,1,APAC,APAC Top Countries,APAC Top Country,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Partner Rebates, Unassigned, Miscds, Other (AUO)",1490928.0,1490928.0,APAC Top Region,Unassigned,0.0,0.0,0.0,0.0
2022,1,1,APAC,APAC Top Countries,APAC Top Country,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",90840.0,90840.0,APAC Top Region,Unassigned,0.0,0.0,0.0,0.0
2022,1,1,APAC,APAC Top Countries,APAC Top Country,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),1016396.0,1022196.0,APAC Top Region,Unassigned,0.0,0.0,0.0,0.0
2022,1,1,APAC,APAC Top Countries,APAC Top Country,IBM Software Top (AUO),IBM Software Top Market (AUO),IBM Software Top Portfolio (AUO),Software Components (61) Top (AUO),0.0,0.0,APAC Top Region,Unassigned,0.0,0.0,0.0,0.0
2022,1,1,APAC,APAC Top Countries,APAC Top Country,Z TPS,zTPS Operations / Services Market,zTPS Operations / Services,"zTPS Top - Acctg Adj, BP Rebates (AUO)",2069501.0,2069501.0,APAC Top Region,Unassigned,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,IBM Global Services Singapore,Unassigned,Unassigned,Unassigned,Unassigned,0.0,-79620.63,ASEAN Region,Unassigned,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Indonesia,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),11216.0,11216.0,ASEAN Region,Indonesia Non Sales,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Indonesia,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Partner Rebates, Unassigned, Miscds, Other (AUO)",6169.0,6169.0,ASEAN Region,Indonesia Non Sales,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Indonesia,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),16431.0,16431.0,ASEAN Region,Indonesia Non Sales,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Indonesia,Storage TPS,Storage for Primary Block SW Market,Storage for Primary Block SW,Storage DS8K SW (TPS),-741.85,-741.85,ASEAN Region,Indonesia Non Sales,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Indonesia,Unassigned,Unassigned,Unassigned,Unassigned,0.0,-156.21,ASEAN Region,Indonesia Non Sales,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Indonesia,Automation Platform,Application Development & Integration,Application Development,WebSphere Application Server,13579.17,13579.17,ASEAN Region,Indonesia Select,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Indonesia,Automation Platform,Application Development & Integration,Application Integration,MQ,11662.06,11662.06,ASEAN Region,Indonesia Select,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Indonesia,Automation Platform,Application Development & Integration,B2B Integration,Sterling Managed File Transfer,7152.9,7152.9,ASEAN Region,Indonesia Select,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Indonesia,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),117.15,117.15,ASEAN Region,Indonesia Select,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Indonesia,Automation Platform,Security Threat Management,Security Threat Mgmt,QRadar SIEM,269782.59,269782.59,ASEAN Region,Indonesia Select,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Indonesia,Data Platform,Data Fabric,Data Integration,Data Replication,0.0,0.0,ASEAN Region,Indonesia Select,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Indonesia,Data Platform,Data Fabric,Databases for z/OS,Db2 Tools for Z,0.0,0.0,ASEAN Region,Indonesia Select,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Indonesia,Data Platform,Data Fabric,Databases for z/OS,Db2 for Z,0.0,0.0,ASEAN Region,Indonesia Select,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Indonesia,Power TPS,Power TPS Market,Power TPS Portfolio,Power Compilers,-963.72,-963.72,ASEAN Region,Indonesia Select,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Indonesia,Power TPS,Power TPS Market,Power TPS Portfolio,Power Middleware,19208.14,19208.14,ASEAN Region,Indonesia Select,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Indonesia,Storage TPS,Storage for Primary Block SW Market,Storage for Primary Block SW,Storage FlashSystem FS9xxx SW - Legacy (TPS),19139.62,19139.62,ASEAN Region,Indonesia Select,0.0,0.0,0.0,0.0
