YEAR,QUARTER,MONTH,UT15_NAME,UT17_NAME,UT20_NAME,GEOGRAPHY,MARKET,COUNTRY,REVENUE_BUDGET,COST_BUDGET,EXPENSE_BUDGET,REGION,BRANCH
2025,1,1,Data Platform,AI Productivity,AI Assistants,APAC,Australia/New Zealand Market,Australia/New Zealand Plan,214137.28,0.0,0.0,Australia/New Zealand Region,
2025,3,7,Data Platform,AI Productivity,AI Assistants,Americas,Canadian Market,Canada Plan,1100648.05,0.0,0.0,Canada Region,
2025,2,4,Data Platform,AI Productivity,AI Assistants,EMEA,DACH Market,DACH Plan,6708115.18,0.0,0.0,DACH Region,
2025,3,7,Data Platform,AI Productivity,AI Assistants,EMEA,France Market,France Plan,102136.2,0.0,0.0,France Region,
2025,4,10,Data Platform,AI Productivity,AI Assistants,EMEA,France Market,France Plan,3272958.92,0.0,0.0,France Region,
2025,3,7,Data Platform,AI Productivity,AI Assistants,APAC,Greater China Group Market,Greater China Group Plan,841888.62,0.0,0.0,Greater China Group Region,
2025,4,10,Data Platform,AI Productivity,AI Assistants,APAC,India/South Asia Market,India & South Asia Plan,1448801.13,0.0,0.0,India/South Asia Region,
2025,1,1,Data Platform,AI Productivity,AI Assistants,Japan,Japan Market,Japan Plan,2156107.95,0.0,0.0,Japan Region,
2025,1,1,Data Platform,AI Productivity,AI Assistants,APAC,Korea Market,Korea Plan,14130.32,0.0,0.0,Korea Region,
2025,3,7,Data Platform,AI Productivity,AI Assistants,APAC,Korea Market,Korea Plan,284333.2,0.0,0.0,Korea Region,
2025,2,4,Data Platform,AI Productivity,AI Assistants,EMEA,Middle East/Africa Market,Middle East and Africa Plan,-251761.98,0.0,0.0,Middle East/Africa Top Region,
2025,4,10,Data Platform,AI Productivity,AI Assistants,EMEA,SPGI Market,SPGI Top,1419924.06,0.0,0.0,SPGI Region,
2025,2,4,Data Platform,AI Productivity,AI Assistants,Americas,US Federal Market,U.S. Federal Plan,1189199.45,0.0,0.0,US Federal Region,
2025,4,10,Data Platform,AI Productivity,AI Assistants,Americas,US Federal Market,U.S. Federal Plan,2147364.87,0.0,0.0,US Federal Region,
2025,1,1,Data Platform,AI Productivity,AI Assistants,Americas,US Industry Market,US Industry Plan,2689971.22,0.0,0.0,US Industry Region,
2025,1,1,Data Platform,AI/ML Ops,AI Governance,APAC,Australia/New Zealand Market,Australia/New Zealand Plan,405133.26,0.0,0.0,Australia/New Zealand Region,
2025,2,4,Data Platform,AI/ML Ops,AI Governance,APAC,Australia/New Zealand Market,Australia/New Zealand Plan,1140306.03,0.0,0.0,Australia/New Zealand Region,
2025,1,1,Data Platform,AI/ML Ops,AI Governance,Americas,Canadian Market,Canada Plan,1071728.52,0.0,0.0,Canada Region,
2025,2,4,Data Platform,AI/ML Ops,AI Governance,Americas,Canadian Market,Canada Plan,1036122.1,0.0,0.0,Canada Region,
2025,2,4,Data Platform,AI/ML Ops,AI Governance,EMEA,DACH Market,DACH Plan,6809405.97,0.0,0.0,DACH Region,
2025,4,10,Data Platform,AI/ML Ops,AI Governance,EMEA,EMEA Top Countries,EMEA Top Countries Plan,0.0,0.0,0.0,EMEA Top Region,
